group,names,scores,logfoldchanges,pvals,pvals_adj
6,Tpt1,66.235855,1.191867,0.0,0.0
6,Rps3,66.11506,1.6278412,0.0,0.0
6,Rpl17,66.09334,1.6558808,0.0,0.0
6,Hnrnpf,65.971405,2.18442,0.0,0.0
6,Rps19,65.898415,1.8094387,0.0,0.0
6,Hnrnpa3,65.810745,2.2780032,0.0,0.0
6,Rps4x,65.5975,1.8177369,0.0,0.0
6,Myb,65.59433,3.9259443,0.0,0.0
6,H3f3b,65.56991,1.7572874,0.0,0.0
6,Anp32e,65.51671,3.1539938,0.0,0.0
6,Rpl36a,65.39424,2.0177143,0.0,0.0
6,Pclaf,65.322655,4.2101727,0.0,0.0
6,Hnrnpd,65.216896,2.6551123,0.0,0.0
7,S100a9,95.26358,5.91939,0.0,0.0
7,Camp,92.83436,7.0639634,0.0,0.0
7,Tf,91.767784,5.2661853,0.0,0.0
7,S100a8,90.83614,5.785864,0.0,0.0
7,Ngp,87.83154,7.68242,0.0,0.0
7,Anxa1,87.50185,3.6326675,0.0,0.0
7,Pglyrp1,86.89695,5.3275075,0.0,0.0
7,Ceacam4,86.73052,5.491569,0.0,0.0
7,Lcn2,85.855286,5.886166,0.0,0.0
7,Ifitm6,83.91933,6.0563393,0.0,0.0
7,LOC24906,81.776085,4.6370163,0.0,0.0
7,Sri,78.20118,3.456406,0.0,0.0
7,Dstn,77.26894,2.875135,0.0,0.0
7,Serpinb1a,75.72626,4.050094,0.0,0.0
7,Gng10-1,75.340225,2.8146284,0.0,0.0
7,Tmsb4x,74.92808,1.5030836,0.0,0.0
7,Hp,73.25138,4.832576,0.0,0.0
7,Plbd1,72.67525,4.6214476,0.0,0.0
7,Cd177,71.53423,5.7474775,0.0,0.0
7,Msrb1,65.931046,3.0240803,0.0,0.0
7,Fpr2,65.46753,5.164923,0.0,0.0
7,Arhgdib,64.12526,2.4839308,0.0,0.0
7,Actb,63.581047,1.0201577,0.0,0.0
7,Lcp1,62.82547,2.635298,0.0,0.0
7,LOC120099372,62.641006,3.6310859,0.0,0.0
7,Gadd45a,62.378418,2.7695627,0.0,0.0
7,Napsa,61.07041,2.9584084,0.0,0.0
7,Plscr1,59.584927,3.8355637,0.0,0.0
7,Tkt,59.41505,2.4780202,0.0,0.0
7,Cklf,58.750908,3.1500804,0.0,0.0
7,Lrg1,57.36381,2.808118,0.0,0.0
7,Mmp8,56.34193,3.8357692,0.0,0.0
7,Anxa3,55.79896,3.8838596,0.0,0.0
7,Alox5ap,55.510757,2.579988,0.0,0.0
7,Rac2,55.37639,2.3905478,0.0,0.0
7,Chi3l1,54.873543,2.7963045,0.0,0.0
7,Serpinb10,54.02089,4.017115,0.0,0.0
7,Cpne3,53.28197,3.3665788,0.0,0.0
7,Ifitm2,52.331154,1.9681672,0.0,0.0
7,Coro1a,51.04873,2.151997,0.0,0.0
7,Pfn1,50.247845,1.0806702,0.0,0.0
7,Ifitm1,50.07874,2.2918518,0.0,0.0
7,S100a11,49.95606,1.6928681,0.0,0.0
7,Actr3,49.723248,1.6482339,0.0,0.0
7,Orm1,49.281517,5.6980715,0.0,0.0
7,Slc2a3,48.59773,3.472927,0.0,0.0
7,Cystm1,48.431408,2.9273524,0.0,0.0
7,Mcemp1,47.502346,2.4203064,0.0,0.0
7,Retnlg,47.37535,2.9135032,0.0,0.0
7,Flot1,47.269894,3.1680746,0.0,0.0
8,Tpt1,77.49303,1.6571134,0.0,0.0
8,Rpl13,74.746605,2.0241408,0.0,0.0
8,Rpl13a,73.40521,1.9365089,0.0,0.0
8,Rplp1,72.761444,1.7562914,0.0,0.0
8,Rps23,71.86861,1.8428723,0.0,0.0
8,Rps27,71.515594,1.7037995,0.0,0.0
8,Rps21,71.266556,1.896674,0.0,0.0
8,AABR07017902.1,69.6084,6.442597,0.0,0.0
8,B3galt4,69.41946,2.0995836,0.0,0.0
8,Eef1a1,69.24459,1.7251933,0.0,0.0
8,Rpl32,68.74904,1.8393184,0.0,0.0
8,B2m,68.399315,1.4075998,0.0,0.0
8,Rpl18a,67.33425,1.8019131,0.0,0.0
8,Rpl23a,67.28068,1.8709563,0.0,0.0
8,Cd3e,65.56915,8.000315,0.0,0.0
8,Rps29,65.43087,1.515731,0.0,0.0
8,Rps15,65.01789,1.701817,0.0,0.0
8,Rpl23,63.44274,1.5733618,0.0,0.0
8,Rplp2,63.151085,1.6578932,0.0,0.0
8,Rps4x,63.069954,1.9032278,0.0,0.0
8,Rps15a,62.904076,1.8194616,0.0,0.0
8,Rpl21-1,62.58016,1.8267844,0.0,0.0
8,Rps16,62.47616,1.632522,0.0,0.0
8,Rpl5,62.441044,1.9289274,0.0,0.0
8,Rps14,62.436512,1.5895479,0.0,0.0
8,Rpl11,62.3693,1.7719284,0.0,0.0
8,Rps12,62.121548,1.5881298,0.0,0.0
8,Rps27a,62.030903,1.6572877,0.0,0.0
8,Rpl24,61.95791,1.7626721,0.0,0.0
8,Rpl19,61.906223,1.6734716,0.0,0.0
8,Rpl30l2,61.38043,1.8907824,0.0,0.0
8,Rps3,61.192062,1.6579875,0.0,0.0
8,Rps19,60.78566,1.8221471,0.0,0.0
8,Rpl15,60.723267,1.735187,0.0,0.0
8,Rpl14,60.625595,1.7320459,0.0,0.0
8,Rpl9-ps30,60.241867,1.678818,0.0,0.0
8,Rpl34,59.95543,1.6810505,0.0,0.0
8,Rpl26,59.924644,1.743136,0.0,0.0
8,Rpl37,59.008842,1.6343589,0.0,0.0
8,ENSRNOG00000063418,58.65329,1.7615889,0.0,0.0
8,Rps13,58.640377,1.6900265,0.0,0.0
8,Rpl17,58.632786,1.6050062,0.0,0.0
